company_name,market_cap,np_qtr,roce,debt_equity,eps_12m,promoter_holding,cmp_pcf,roe,pat_12m,opm,sales_growth_3y,profit_growth_3y,fii_holding,dii_holding,cap_category,sector,industry
Justo Realfin,159.78,13.6,26.93,0.12,10.44,39.49,-19.79,21.59,19.36,30.06,9.22,8.09,0.16,10.1,Micro Cap,Realty,Realty
Bizotic Commer.,686.51,9.71,26.91,0.07,19.29,74.98,-28.69,20.68,18.09,10.44,56.71,88.75,0.0,0.0,Micro Cap,Textiles,Textiles
Cryogenic OGS,382.7,4.47,26.9,0.15,7.13,74.29,119.27,22.14,9.26,27.76,22.86,33.18,0.0,1.65,Micro Cap,Capital Goods,Capital Goods
Spunweb Nonwoven,266.46,12.33,26.87,0.63,9.57,65.27,-30.79,27.44,23.07,17.25,40.93,173.31,0.05,5.06,Micro Cap,Textiles,Textiles
Prime Industries,92.42,3.03,26.87,0.99,4.0,26.07,0.0,21.75,8.41,17.61,0.0,0.0,0.0,0.97,Micro Cap,Chemicals,Chemicals
Syncom Formul.,1307.54,24.57,26.84,0.0,0.81,50.57,85.54,20.2,75.98,15.86,29.91,56.22,0.21,0.0,Small Cap,Healthcare,Healthcare
Shringar House,2116.76,34.01,26.83,0.28,11.98,74.8,-20.17,26.29,115.49,7.07,33.2,70.36,5.77,1.53,Small Cap,Consumer Durables,Consumer Durables
Eureka Industrie,11.75,-0.49,361.9,0.0,0.03,0.0,-64.64,0.0,0.2,-0.84,146.25,35.29,0.0,0.0,Micro Cap,Consumer Durables,Consumer Durables
SHRI NIWAS L&F.,6.34,9.86,195.35,0.0,240.83,1.94,-4.19,0.0,1059.65,71124.83,62.07,1458.64,0.0,0.0,Micro Cap,Textiles,Textiles
Orosil Smiths,25.99,22.72,193.46,0.01,5.55,60.01,-11.74,173.24,22.92,-4.15,52.99,303.44,0.0,0.0,Micro Cap,Metals and Mining,Metals and Mining
Magnus Steel,459.76,1.52,170.7,0.52,0.86,46.13,-2704.76,464.95,4.51,20.64,0.0,0.0,0.0,0.0,Micro Cap,Metals and Mining,Metals and Mining
Mediaone Global,20.96,-1.1,165.29,0.0,0.0,-1.71,52.64,17.21,-2.51,-111.24,179.7,42.59,0.0,0.51,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
SPARC,7513.3,1760.7,165.0,0.42,47.83,65.67,-20.65,281.14,1564.49,85.03,98.91,108.26,2.48,0.1,Small Cap,Healthcare,Healthcare
Noida Tollbridg.,88.44,3.85,162.47,0.0,1.46,26.37,5.65,0.0,27.19,28.08,21.81,40.48,0.0,0.6,Micro Cap,Services,Services
Gravity (India),86.6,6.83,158.68,0.16,1.65,6.05,2361.27,151.44,12.85,9.57,160.04,145.8,0.0,0.0,Micro Cap,Consumer Services,Consumer Services
P & G Hygiene,28593.07,153.13,157.48,0.0,263.86,70.64,38.83,114.93,856.5,27.29,3.22,14.07,0.97,15.96,Mid Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Rajasthan Securities,395.14,61.14,137.57,0.0,10.54,0.0,-19.57,106.0,80.99,54.96,0.0,0.0,0.0,0.0,Micro Cap,Financial Services,Financial Services
Rap Corp,22.34,0.64,133.49,0.0,74.56,39.66,4.14,133.91,43.85,62.45,0.0,0.0,0.0,0.0,Micro Cap,Financial Services,Financial Services
Aaylon Nexus,1000.98,-7.99,131.18,0.0,0.23,58.33,48.42,0.0,0.0,-2.2,4.09,0.0,1.56,29.94,Small Cap,Financial Services,Financial Services
TPI India,74.07,1.87,128.93,0.0,0.58,58.71,183.8,0.0,2.49,12.0,16.87,-46.1,0.0,0.02,Micro Cap,Capital Goods,Capital Goods
Harig Crankshaft,10.03,10.13,128.37,0.0,9.84,90.0,2.61,0.0,10.33,76.75,0.0,198.49,0.2,0.0,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Ksolves India,675.55,9.02,127.4,0.2,13.95,58.92,23.11,131.53,33.08,29.34,27.72,9.98,0.08,0.01,Micro Cap,Information Technology,Information Technology
Indosolar,1635.7,42.0,123.8,0.01,59.27,74.93,60.92,150.63,246.6,39.82,0.0,230.81,0.55,0.13,Small Cap,Power,Power
Tips Music,7979.88,59.06,122.19,0.02,16.96,64.15,44.34,92.33,216.75,73.44,26.21,41.58,7.48,4.94,Small Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Grand Foundry,41.42,0.89,116.54,0.0,0.06,70.18,-69.34,0.0,0.18,7.03,372.22,32.64,0.0,0.03,Micro Cap,Metals and Mining,Metals and Mining
ICICI AMC,162084.32,763.42,115.1,0.0,66.73,87.59,69.15,85.8,3298.26,75.48,28.35,29.58,2.4,7.18,Large Cap,Financial Services,Financial Services
SRM Energy Ltd,20.5,2.06,108.16,0.0,0.49,71.19,59.4,0.0,0.44,0.0,0.0,47.7,0.0,0.06,Micro Cap,Power,Power
Colgate-Palmoliv,54389.02,353.32,108.0,0.03,48.73,51.0,39.06,82.73,1343.74,30.98,4.91,8.39,13.6,15.25,Large Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Gujarat Poly,66.73,0.12,104.5,0.01,32.77,52.09,7.13,110.86,28.02,1.66,1.88,184.25,0.0,0.02,Micro Cap,Chemicals,Chemicals
Emiac Technologies,119.98,-0.93,99.84,0.02,4.02,50.0,84.59,23.04,3.62,48.16,122.33,110.16,3.92,8.43,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Vinit Mobile,97.49,1.0,98.86,0.66,3900.0,0.0,147.17,3.9,8.5,0.0,0.0,0.0,0.0,0.0,Micro Cap,Telecommunications,Telecommunications
Simca Advertis.,202.02,9.04,97.5,0.0,18.89,0.0,58.41,71.68,16.63,18.02,119.93,119.62,0.0,0.0,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Veritas Adver.,10.46,1.05,17.03,0.61,6.34,67.14,-3.78,14.07,1.79,22.85,23.93,60.86,2.21,0.0,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Gravita India,12262.09,91.81,17.02,0.3,51.32,55.8,490.47,18.76,378.8,10.2,15.05,22.72,13.94,5.15,Mid Cap,Metals and Mining,Metals and Mining
Premium Plast,84.12,2.94,17.01,0.09,3.8,68.73,-12.31,11.67,6.87,18.94,16.13,62.87,1.7,2.84,Micro Cap,Chemicals,Chemicals
Hexagon Nutri.,805.98,0.0,17.01,0.21,2.2,64.28,0.0,13.78,23.82,12.59,6.22,2.2,0.22,8.09,Micro Cap,Healthcare,Healthcare
BLS E-Services,2119.25,18.24,17.0,0.01,6.33,69.81,57.18,11.44,57.5,6.7,66.3,41.36,0.46,0.01,Small Cap,Services,Services
Atishay,224.16,1.77,16.98,0.1,6.47,74.65,392.14,13.14,6.81,17.91,37.49,135.71,0.0,0.0,Micro Cap,Information Technology,Information Technology
TVS Holdings,27196.04,885.36,16.98,5.59,838.45,74.46,-35.09,33.7,1712.27,15.89,18.88,40.16,3.29,9.03,Mid Cap,Financial Services,Financial Services
Aztec Fluids,135.59,3.18,16.98,0.29,5.45,74.76,0.0,13.77,7.41,13.56,0.0,0.0,2.94,0.18,Micro Cap,Information Technology,Information Technology
Shyam Dhani Ind.,132.3,4.34,16.98,0.52,4.13,72.0,-10.04,18.52,8.54,11.32,28.97,43.01,4.04,6.35,Micro Cap,Chemicals,Chemicals
Filatex India,2299.3,40.25,16.97,0.1,4.14,65.47,14.3,12.96,183.9,7.53,-1.12,27.02,4.22,2.78,Small Cap,Textiles,Textiles
Aditya Vision,8639.41,21.73,16.97,0.83,9.05,47.14,-332.51,18.56,118.05,8.53,26.42,22.59,16.18,19.57,Small Cap,Consumer Durables,Consumer Durables
Sameera Disgno.,1418.4,8.16,16.97,0.53,8.18,49.1,78.67,14.12,32.19,30.73,17.75,61.23,13.46,23.14,Small Cap,Construction,Construction
Tube Investments,58556.79,234.01,16.96,0.1,32.9,44.04,-431.78,9.91,658.6,8.88,15.15,-11.38,21.42,21.75,Large Cap,Automobile and Auto Components,Automobile and Auto Components
Durlax Top,140.75,3.6,16.96,0.35,4.37,51.45,-8.05,14.51,12.64,12.05,40.42,68.76,0.85,0.0,Micro Cap,Chemicals,Chemicals
Euro Panel,410.0,8.81,16.95,1.0,11.1,63.93,-20.83,18.5,27.2,11.02,15.21,39.27,0.0,1.29,Micro Cap,Chemicals,Chemicals
Kaushalya,61.34,5.42,16.95,1.02,6.59,73.65,-4.11,18.36,12.22,0.11,58.74,34.17,0.0,0.0,Micro Cap,Realty,Realty
Rapid Multimodal,50.5,1.41,16.95,0.0,4.95,73.47,37.02,12.46,1.89,1.74,25.28,-1.87,0.0,0.0,Micro Cap,Services,Services
Balmer Law. Inv.,1589.89,84.68,16.91,0.15,8.04,59.67,8.56,12.67,178.39,13.22,5.32,17.37,1.06,0.03,Small Cap,Financial Services,Financial Services
Mangal Compuso.,62.04,3.45,16.91,0.42,4.45,73.5,22.12,14.29,6.05,35.56,24.69,-4.75,0.0,0.02,Micro Cap,Services,Services
Paras Defence,9532.29,38.88,16.9,0.04,10.93,53.2,-397.98,12.59,85.95,25.26,28.92,33.52,5.06,1.24,Small Cap,Defence,Defence
Aaradhya Dis.,110.27,5.21,16.9,0.51,4.29,70.58,-15.35,20.6,6.07,7.57,21.9,75.65,0.0,1.43,Micro Cap,Services,Services
Suba Hotels,279.39,12.77,16.9,0.37,7.43,60.93,-12.05,19.39,18.01,22.11,48.34,86.42,0.0,4.62,Micro Cap,Consumer Services,Consumer Services
Pranik Logistics,56.15,2.03,16.88,0.96,6.39,73.76,-20.57,17.0,7.04,9.41,38.19,96.35,0.57,0.62,Micro Cap,Services,Services
Twinkle Papers,104.54,2.64,16.87,2.09,0.0,0.0,22.48,3.44,11.83,20.18,66.15,0.0,0.0,0.0,Micro Cap,Chemicals,Chemicals
Affle (I),19703.09,119.51,16.84,0.0,32.31,54.92,83.97,13.79,454.85,22.52,23.53,22.97,16.66,17.9,Mid Cap,Information Technology,Information Technology
Mangalam Global,530.58,12.48,16.83,0.87,1.37,72.38,45.74,16.2,36.41,1.8,33.46,40.81,0.18,0.0,Micro Cap,Textiles,Textiles
Remus Pharma,899.77,24.58,16.83,0.08,31.39,70.95,-838.53,12.19,38.99,6.64,0.0,5.29,0.83,0.0,Micro Cap,Healthcare,Healthcare
Shivam Chemicals,185.18,4.22,16.83,0.5,3.64,73.0,-27.18,15.73,6.06,3.19,22.0,17.56,1.49,3.19,Micro Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
NCC,9416.38,216.77,16.82,0.44,10.76,22.81,152.81,9.2,689.2,8.82,10.21,6.04,12.11,16.4,Small Cap,Construction,Construction
Rashi Peripheral,4966.41,86.84,16.82,0.49,42.12,64.01,47.98,14.74,277.58,2.9,18.74,31.09,0.78,17.45,Small Cap,Information Technology,Information Technology
National Plastic,134.94,1.49,16.81,0.86,15.09,66.34,23.59,15.75,9.33,7.65,17.64,15.09,0.0,0.0,Micro Cap,Chemicals,Chemicals
Swasti Vinayaka,34.2,1.25,16.81,0.16,0.34,51.0,-52.62,12.42,3.05,10.93,6.1,15.3,0.0,0.0,Micro Cap,Healthcare,Healthcare
Std. Capital Mkt,95.73,77.04,16.8,5.0,0.33,2.65,-0.1,20.42,88.49,95.85,218.06,230.48,0.0,0.0,Micro Cap,Financial Services,Financial Services
Flair Writing,2779.33,36.53,16.8,0.06,13.26,78.59,-74.43,12.94,139.79,17.96,9.9,5.75,0.3,10.34,Small Cap,Consumer Durables,Consumer Durables
Action Pharmaceu,71.08,0.48,16.8,0.13,4.55,50.66,-8.77,15.51,3.87,-2.24,57.33,53.98,1.91,0.0,Micro Cap,Healthcare,Healthcare
Panasonic Carbon,222.12,4.56,16.79,0.0,44.25,63.27,32.51,11.8,21.22,33.19,2.98,18.26,0.0,0.0,Micro Cap,Capital Goods,Capital Goods
Talbros Engg.,355.84,9.55,16.78,0.81,57.44,72.59,-152.12,17.32,29.16,11.28,6.45,1.48,0.0,0.01,Micro Cap,Automobile and Auto Components,Automobile and Auto Components
Geekay Wires,266.73,6.75,16.78,0.84,2.88,59.77,-87.53,19.03,30.11,9.04,3.36,4.31,0.14,0.03,Micro Cap,Capital Goods,Capital Goods
Honeywell Auto,34495.0,159.7,16.78,0.02,593.79,75.0,81.36,12.56,533.61,12.93,10.74,6.02,3.74,11.28,Mid Cap,Automobile and Auto Components,Automobile and Auto Components
Bliss GVS Pharma,5613.65,37.0,16.77,0.02,12.21,35.36,87.14,11.65,130.64,17.69,7.25,22.74,10.45,5.04,Small Cap,Healthcare,Healthcare
Shree Marutinand,21.11,2.54,16.77,0.12,10.35,59.3,-3.31,12.09,3.51,4.29,46.87,24.96,0.0,0.0,Micro Cap,Capital Goods,Capital Goods
Kody Techlab,1530.55,12.28,16.77,0.04,11.73,72.73,0.0,11.39,16.76,27.9,0.0,0.0,0.09,0.15,Small Cap,Healthcare,Healthcare
Welspun Enterp,7956.06,162.79,16.76,0.55,25.28,56.13,-37.29,14.08,393.15,20.65,9.44,13.05,3.47,9.32,Small Cap,Construction,Construction
Spectrum Electr.,2743.15,26.46,16.76,1.02,28.27,72.72,-53.09,20.42,44.42,15.15,73.88,4.94,0.0,0.34,Small Cap,Capital Goods,Capital Goods
F Mec Intl. Fin.,58.98,0.76,16.75,0.89,0.45,36.91,-6.05,14.73,2.21,40.93,117.48,106.77,0.0,0.0,Micro Cap,Financial Services,Financial Services
Shalimar Wires,75.72,2.32,16.74,2.12,1.36,65.71,4.74,19.14,7.7,21.76,5.58,145.56,0.0,1.65,Micro Cap,Capital Goods,Capital Goods
Indian Phosphate,139.81,13.4,16.74,0.37,8.78,72.99,-4.82,13.0,21.93,4.12,0.0,0.0,1.35,3.17,Micro Cap,Chemicals,Chemicals
Amines & Plastic.,1036.12,15.35,16.73,0.09,6.64,73.17,23.0,13.26,36.53,10.47,-1.49,16.89,0.0,0.0,Small Cap,Chemicals,Chemicals
Syrma SGS Tech.,26423.51,119.23,16.73,0.14,16.48,42.28,-238.1,13.92,321.01,11.3,33.0,39.31,6.6,16.59,Mid Cap,Information Technology,Information Technology
Dynamic Services,301.34,32.91,16.73,0.78,24.62,59.83,-4.79,17.79,43.17,15.94,81.67,142.96,0.0,0.0,Micro Cap,Services,Services
Beardsell,117.96,4.38,16.72,0.24,2.9,52.58,12.28,13.2,11.43,8.8,5.84,10.59,0.0,0.04,Micro Cap,Chemicals,Chemicals
Dodla Dairy,8758.07,69.73,16.72,0.03,44.26,58.92,45.99,16.45,253.36,7.51,13.83,8.44,0.0,25.34,Small Cap,Fast Moving Consumer Goods,Fast Moving Consumer Goods
Time Technoplast,9857.88,134.31,16.71,0.18,9.5,47.56,66.44,13.43,485.72,14.61,12.48,29.05,10.88,17.37,Small Cap,Chemicals,Chemicals
Star Cement,8434.36,147.03,16.69,0.19,9.73,58.12,-46.19,13.24,401.72,24.78,11.77,17.51,2.26,2.65,Small Cap,Construction,Construction
Sanghvi Movers,3651.3,68.79,16.68,0.51,21.29,47.25,0.0,15.49,190.03,37.35,32.92,24.73,1.48,1.3,Small Cap,Capital Goods,Capital Goods
Jayant Infratech,73.37,3.9,16.68,0.55,8.17,55.85,-77.23,15.43,8.45,10.03,38.02,37.23,0.0,0.0,Micro Cap,Construction,Construction
FDC,8035.2,103.4,16.67,0.01,17.29,69.66,48.12,12.48,287.04,15.94,6.77,18.11,2.4,6.29,Small Cap,Healthcare,Healthcare
Accedere,40.93,0.57,16.67,0.05,1.48,75.0,-101.59,15.86,0.73,28.02,39.46,197.51,0.0,0.0,Micro Cap,Information Technology,Information Technology
India Pesticides,1855.54,30.62,16.67,0.11,10.41,63.55,-104.52,12.56,119.83,16.41,6.12,-5.75,1.87,0.02,Small Cap,Chemicals,Chemicals
Multibase India,229.62,1.99,16.66,0.0,8.26,75.0,40.24,12.46,10.43,17.23,-2.68,2.13,0.0,0.0,Micro Cap,Chemicals,Chemicals
Alkyl Amines,8578.99,45.37,16.64,0.0,35.19,72.05,53.61,12.27,180.1,18.54,-3.0,8.04,3.45,3.01,Small Cap,Chemicals,Chemicals
Blue Dart Expres,11564.26,46.85,16.64,0.64,104.26,75.0,22.06,16.82,260.49,15.48,5.68,-7.83,3.42,14.54,Mid Cap,Services,Services
RACL Geartech,1630.37,11.59,16.62,0.66,39.5,42.89,-462.44,16.09,46.72,21.79,10.08,8.82,9.54,3.22,Small Cap,Automobile and Auto Components,Automobile and Auto Components
Teila Global,35.91,0.03,16.62,0.0,0.38,41.23,18.55,16.56,5.69,62.41,104.28,8.03,0.0,0.08,Micro Cap,Services,Services
Lodha Developers,93836.98,1008.1,16.58,0.42,34.32,72.27,67.91,15.77,3428.2,29.51,20.76,57.46,21.24,4.62,Large Cap,Realty,Realty
Rajgor Castor,51.34,10.99,16.58,0.79,5.28,60.02,-4.34,14.15,12.63,2.67,26.71,31.69,4.1,5.76,Micro Cap,Metals and Mining,Metals and Mining
Saraswati Saree,227.7,3.34,16.58,0.0,5.91,74.98,31.19,12.57,23.41,5.07,2.14,0.63,0.02,0.0,Micro Cap,Textiles,Textiles
Zeal Global Serv,90.51,6.53,16.57,0.22,8.38,73.4,-116.95,12.85,11.15,5.45,36.52,4.22,0.0,2.44,Micro Cap,Services,Services
Vasundhara Rasay,54.03,0.72,16.56,0.14,11.96,61.98,-18.91,12.59,3.8,9.4,8.38,30.78,0.0,0.0,Micro Cap,Chemicals,Chemicals
Starlit Power,104.16,4.16,16.56,0.39,3.01,69.52,0.0,16.3,5.61,12.61,0.0,6.9,0.0,1.57,Micro Cap,Power,Power
Vikram Engg.,1918.53,56.0,16.55,0.24,3.56,56.27,-7.54,10.85,92.57,14.02,33.57,30.31,1.11,6.83,Small Cap,Capital Goods,Capital Goods
Bodhi Tree,110.83,2.09,16.54,0.44,0.35,24.27,-5.33,11.03,6.38,12.25,39.43,25.21,0.39,9.31,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Shoda Tubes,883.71,6.32,16.54,0.48,6.48,66.43,-13.96,14.37,36.84,14.7,19.34,55.45,8.16,7.36,Micro Cap,Capital Goods,Capital Goods
Par Drugs & Che.,108.0,0.85,16.53,0.0,10.65,73.41,7.43,12.43,13.11,16.53,2.68,5.33,0.0,0.0,Micro Cap,Healthcare,Healthcare
Asian Energy,1776.73,32.65,16.51,0.32,11.38,56.16,-40.26,12.93,57.74,12.05,93.05,51.93,1.18,0.75,Small Cap,Power,Power
Sun TV Network,20250.05,232.34,16.51,0.01,36.53,75.0,24.0,12.3,1493.45,50.36,4.74,-3.71,6.64,10.91,Mid Cap,Consumer Durables,Consumer Durables
Jay Dee Lammate,205.26,14.58,16.49,0.19,8.09,70.81,-29.31,11.65,18.25,6.22,30.53,10.08,0.7,0.82,Micro Cap,Chemicals,Chemicals
Deep Industries,2952.78,-7.22,16.48,0.1,28.12,63.49,88.77,18.39,370.13,39.98,37.67,62.74,1.81,1.13,Small Cap,"Oil, Gas and Consumable Fuels","Oil, Gas and Consumable Fuels"
Committed Cargo,371.54,5.03,16.48,0.23,10.11,64.11,-38.52,14.0,11.7,5.43,0.0,7.48,0.0,0.0,Micro Cap,Services,Services
Orient Cement,2748.23,55.43,16.46,0.03,16.44,72.56,19.44,17.27,341.48,19.54,-1.67,40.61,4.7,1.97,Small Cap,Construction,Construction
Control Print,987.33,11.19,16.45,0.02,27.26,52.38,54.39,9.51,41.16,18.39,15.57,-7.9,3.15,0.22,Micro Cap,"Media, Entertainment & Publication","Media, Entertainment & Publication"
Dharmaj Crop,804.62,3.89,16.45,0.29,16.1,70.4,-15.36,12.97,54.7,8.03,28.47,26.77,3.13,0.47,Micro Cap,Agriculture,Agriculture
Jay Bharat Maru.,1059.65,70.86,16.44,0.77,12.74,59.35,120.15,22.08,137.08,11.0,2.86,54.85,1.33,0.03,Small Cap,Automobile and Auto Components,Automobile and Auto Components
Telecanor Global,33.02,3.17,16.44,0.0,0.0,5.56,34.08,241.7,0.0,7.15,52.18,44.22,0.0,0.0,Micro Cap,Telecommunications,Telecommunications
