company_name,symbol,revenue_cagr,pat_growth,eps_growth,roce,cash_flow,promoter_holding
Ace Integrated Solutions Limited,ACEINTEG,,,,,,
Archean Chemical Industries Limited,ACI,,,,,,
Andhra Cements Limited,ACL,,,,,,
Acme Solar Holdings Limited,ACMESOLAR,,,,,,
ACS Technologies Limited,ACSTECH,,,,,,
Acutaas Chemicals Limited,ACUTAAS,,,,,,
Adani Energy Solutions Limited,ADANIENSOL,,,,,,
Adani Enterprises Limited,ADANIENT,,,,,,
Adani Green Energy Limited,ADANIGREEN,,,,,,
Adani Ports and Special Economic Zone Limited,ADANIPORTS,,,,,,
Adani Power Limited,ADANIPOWER,,,,,,
ADF Foods Limited,ADFFOODS,,,,,,
Archidply Decor Limited,ADL,,,,,,
Ador Welding Limited,ADOR,,,,,,
Adroit Infotech Limited,ADROITINFO,,,,,,
Allied Digital Services Limited,ADSL,,,,,,
Advait Energy Transitions Limited,ADVAIT,,,,,,
Advance Agrolife Limited,ADVANCE,,,,,,
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,,,,,,
Advent Hotels International Limited,ADVENTHTL,,,,,,
Advanced Enzyme Technologies Limited,ADVENZYMES,,,,,,
Aegis Logistics Limited,AEGISLOG,,,,,,
Aegis Vopak Terminals Limited,AEGISVOPAK,,,,,,
Artemis Electricals and Projects Limited,AEPL,,,,,,
Aequs Limited,AEQUS,,,,,,
Aeroflex Enterprises Limited,AEROENTER,,,,,,
Aeroflex Industries Limited,AEROFLEX,,,,,,
Aeroflex Neu Limited,AERONEU,,,,,,
Aether Industries Limited,AETHER,,,,,,
Afcons Infrastructure Limited,AFCONS,,,,,,
Affle 3i Limited,AFFLE,,,,,,
Affordable Robotic & Automation Limited,AFFORDABLE,,,,,,
Akme Fintrade (India) Limited,AFIL,,,,,,
Abans Financial Services Limited,AFSL,,,,,,
Agarwal Industrial Corporation Limited,AGARIND,,,,,,
Dr. Agarwal's Health Care Limited,AGARWALEYE,,,,,,
AGI Greenpac Limited,AGI,,,,,,
Agi Infra Limited,AGIIL,,,,,,
Agri-Tech (India) Limited,AGRITECH,,,,,,
Agro Phos India Limited,AGROPHOS,,,,,,
Anlon Healthcare Limited,AHCL,,,,,,
Ahlada Engineers Limited,AHLADA,,,,,,
Asian Hotels (East) Limited,AHLEAST,,,,,,
Ahluwalia Contracts (India) Limited,AHLUCONT,,,,,,
Asian Hotels (West) Limited,AHLWEST,,,,,,
AIA Engineering Limited,AIAENG,,,,,,
Authum Investment & Infrastructure Limited,AIIL,,,,,,
Airan Limited,AIRAN,,,,,,
Airo Lam limited,AIROLAM,,,,,,
Ajanta Pharma Limited,AJANTPHARM,,,,,,
Ajax Engineering Limited,AJAXENGG,,,,,,
Ajmera Realty & Infra India Limited,AJMERA,,,,,,
Ajooni Biotech Limited,AJOONI,,,,,,
Akash Infra-Projects Limited,AKASH,,,,,,
AK Capital Services Limited,AKCAPIT,,,,,,
Akg Exim Limited,AKG,,,,,,
AKI India Limited,AKI,,,,,,
Akshar Spintex Limited,AKSHAR,,,,,,
AksharChem India Limited,AKSHARCHEM,,,,,,
Aksh Optifibre Limited,AKSHOPTFBR,,,,,,
Akums Drugs and Pharmaceuticals Limited,AKUMS,,,,,,
Alankit Limited,ALANKIT,,,,,,
Albert David Limited,ALBERTDAVD,,,,,,
Alembic Limited,ALEMBICLTD,,,,,,
Algoquant Fintech Limited,ALGOQUANT,,,,,,
Alicon Castalloy Limited,ALICON,,,,,,
Alivus Life Sciences Limited,ALIVUS,,,,,,
Alkali Metals Limited,ALKALI,,,,,,
Alkem Laboratories Limited,ALKEM,,,,,,
Alkyl Amines Chemicals Limited,ALKYLAMINE,,,,,,
Allcargo Logistics Limited,ALLCARGO,,,,,,
Alldigi Tech Limited,ALLDIGI,,,,,,
All Time Plastics Limited,ALLTIME,,,,,,
Almondz Global Securities Limited,ALMONDZ,,,,,,
Alok Industries Limited,ALOKINDS,,,,,,
Alpa Laboratories Limited,ALPA,,,,,,
Alphageo (India) Limited,ALPHAGEO,,,,,,
Amagi Media Labs Limited,AMAGI,,,,,,
Amanta Healthcare Limited,AMANTA,,,,,,
Ambalal Sarabhai Enterprises Limited,AMBALALSA,,,,,,
Amber Enterprises India Limited,AMBER,,,,,,
Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,,,,,,
Ambika Cotton Mills Limited,AMBIKCO,,,,,,
Ambuja Cements Limited,AMBUJACEM,,,,,,
AMD Industries Limited,AMDIND,,,,,,
Amir Chand Jagdish Kumar (Exports) Limited,AMIRCHAND,,,,,,
Amj Land Holdings Limited,AMJLAND,,,,,,
Amines & Plasticizers Limited,AMNPLST,,,,,,
Amrutanjan Health Care Limited,AMRUTANJAN,,,,,,
Anand Rathi Wealth Limited,ANANDRATHI,,,,,,
Anant Raj Limited,ANANTRAJ,,,,,,
ANDHRA PAPER LIMITED,ANDHRAPAP,,,,,,
The Andhra Sugars Limited,ANDHRSUGAR,,,,,,
Angel One Limited,ANGELONE,,,,,,
Anik Industries Limited,ANIKINDS,,,,,,
Ankit Metal & Power Limited,ANKITMETAL,,,,,,
Anmol India Limited,ANMOL,,,,,,
Ansal Properties & Infrastructure Limited,ANSALAPI,,,,,,
Antelopus Selan Energy Limited,ANTELOPUS,,,,,,
Antarctica Limited,ANTGRAPHIC,,,,,,
Anthem Biosciences Limited,ANTHEM,,,,,,
Anuh Pharma Limited,ANUHPHR,,,,,,
The Anup Engineering Limited,ANUP,,,,,,
Anupam Rasayan India Limited,ANURAS,,,,,,
Apar Industries Limited,APARINDS,,,,,,
Anjani Portland Cement Limited,APCL,,,,,,
Apcotex Industries Limited,APCOTEXIND,,,,,,
Apex Frozen Foods Limited,APEX,,,,,,
APL Apollo Tubes Limited,APLAPOLLO,,,,,,
Alembic Pharmaceuticals Limited,APLLTD,,,,,,
Apollo Micro Systems Limited,APOLLO,,,,,,
Apollo Hospitals Enterprise Limited,APOLLOHOSP,,,,,,
Apollo Pipes Limited,APOLLOPIPE,,,,,,
Apollo Tyres Limited,APOLLOTYRE,,,,,,
Apollo Sindoori Hotels Limited,APOLSINHOT,,,,,,
Aptech Limited,APTECHT,,,,,,
Aptus Value Housing Finance India Limited,APTUS,,,,,,
Aqylon Nexus Limited,AQYLON,,,,,,
Archidply Industries Limited,ARCHIDPLY,,,,,,
Archies Limited,ARCHIES,,,,,,
Amara Raja Energy & Mobility Limited,ARE&M,,,,,,
Rajdarshan Industries Limited,ARENTERP,,,,,,
Arfin India Limited,ARFIN,,,,,,
Aries Agro Limited,ARIES,,,,,,
Arihant Foundations & Housing Limited,ARIHANT,,,,,,
Arihant Capital Markets Limited,ARIHANTCAP,,,,,,
Arihant Superstructures Limited,ARIHANTSUP,,,,,,
Arisinfra Solutions Limited,ARIS,,,,,,
Arkade Developers Limited,ARKADE,,,,,,
Arman Financial Services Limited,ARMANFIN,,,,,,
Aro Granite Industries Limited,AROGRANITE,,,,,,
Arrow Greentech Limited,ARROWGREEN,,,,,,
Arshiya Limited,ARSHIYA,,,,,,
Anand Rathi Share and Stock Brokers Limited,ARSSBL,,,,,,
Artemis Medicare Services Limited,ARTEMISMED,,,,,,
Art Nirman Limited,ARTNIRMAN,,,,,,
Arvee Laboratories (India) Limited,ARVEE,,,,,,
Arvind Limited,ARVIND,,,,,,
Arvind Fashions Limited,ARVINDFASN,,,,,,
Arvind SmartSpaces Limited,ARVSMART,,,,,,
Asahi India Glass Limited,ASAHIINDIA,,,,,,
Asahi Songwon Colors Limited,ASAHISONG,,,,,,
Automotive Stampings and Assemblies Limited,ASAL,,,,,,
Associated Alcohols & Breweries Ltd.,ASALCBR,,,,,,
Ashapura Minechem Limited,ASHAPURMIN,,,,,,
Ashiana Housing Limited,ASHIANA,,,,,,
Ashika Credit Capital Limited,ASHIKA,,,,,,
Ashima Limited,ASHIMASYN,,,,,,
Ashoka Buildcon Limited,ASHOKA,,,,,,
Ashoka Metcast Limited,ASHOKAMET,,,,,,
Ashok Leyland Limited,ASHOKLEY,,,,,,
Asian Energy Services Limited,ASIANENE,,,,,,
Asian Hotels (North) Limited,ASIANHOTNR,,,,,,
Asian Paints Limited,ASIANPAINT,,,,,,
Asian Granito India Limited,ASIANTILES,,,,,,
ASK Automotive Limited,ASKAUTOLTD,,,,,,
Avio Smart Market Stack Limited,ASMS,,,,,,
Aspinwall and Company Limited,ASPINWALL,,,,,,
Asian Star Company Limited,ASTAR,,,,,,
Astec LifeSciences Limited,ASTEC,,,,,,
Aster DM Healthcare Limited,ASTERDM,,,,,,
Astral Limited,ASTRAL,,,,,,
Astra Microwave Products Limited,ASTRAMICRO,,,,,,
AstraZeneca Pharma India Limited,ASTRAZEN,,,,,,
Astron Paper & Board Mill Limited,ASTRON,,,,,,
Atal Realtech Limited,ATALREAL,,,,,,
Atam Valves Limited,ATAM,,,,,,
Adani Total Gas Limited,ATGL,,,,,,
Ather Energy Limited,ATHERENERG,,,,,,
Allcargo Terminals Limited,ATL,,,,,,
ATLANTAA LIMITED,ATLANTAA,,,,,,
Atlanta Electricals Limited,ATLANTAELE,,,,,,
Atlas Cycles (Haryana) Limited,ATLASCYCLE,,,,,,
Atul Limited,ATUL,,,,,,
Atul Auto Limited,ATULAUTO,,,,,,
AU Small Finance Bank Limited,AUBANK,,,,,,
Auri Grow India Limited,AURIGROW,,,,,,
Aurionpro Solutions Limited,AURIONPRO,,,,,,
Aurobindo Pharma Limited,AUROPHARMA,,,,,,
Aurum PropTech Limited,AURUM,,,,,,
Ausom Enterprise Limited,AUSOMENT,,,,,,
Automotive Axles Limited,AUTOAXLES,,,,,,
Autoline Industries Limited,AUTOIND,,,,,,
Avadh Sugar & Energy Limited,AVADHSUGAR,,,,,,
Avalon Technologies Limited,AVALON,,,,,,
Avantel Limited,AVANTEL,,,,,,
Avanti Feeds Limited,AVANTIFEED,,,,,,
AVG Logistics Limited,AVG,,,,,,
Aditya Vision Limited,AVL,,,,,,
Avonmore Capital & Management Services Limited,AVONMORE,,,,,,
AVRO INDIA LIMITED,AVROIND,,,,,,
AVT Natural Products Limited,AVTNPL,,,,,,
Awfis Space Solutions Limited,AWFIS,,,,,,
Antony Waste Handling Cell Limited,AWHCL,,,,,,
AWL Agri Business Limited,AWL,,,,,,
Axis Bank Limited,AXISBANK,,,,,,
AXISCADES Technologies Limited,AXISCADES,,,,,,
Axita Cotton Limited,AXITA,,,,,,
Aye Finance Limited,AYE,,,,,,
AYM Syntex Limited,AYMSYNTEX,,,,,,
Azad Engineering Limited,AZAD,,,,,,
Bafna Pharmaceuticals Limited,BAFNAPH,,,,,,
B.A.G Films and Media Limited,BAGFILMS,,,,,,
Baid Finserv Limited,BAIDFIN,,,,,,
Bajaj Auto Limited,BAJAJ-AUTO,,,,,,
Bajaj Consumer Care Limited,BAJAJCON,,,,,,
Bajaj Electricals Limited,BAJAJELEC,,,,,,
Bajaj Finserv Limited,BAJAJFINSV,,,,,,
Bajaj Healthcare Limited,BAJAJHCARE,,,,,,
Bajaj Housing Finance Limited,BAJAJHFL,,,,,,
Bajaj Hindusthan Sugar Limited,BAJAJHIND,,,,,,
Bajaj Holdings & Investment Limited,BAJAJHLDNG,,,,,,
Indef Manufacturing Limited,BAJAJINDEF,,,,,,
Bajaj Steel Industries Limited,BAJAJST,,,,,,
Bajel Projects Limited,BAJEL,,,,,,
Bajaj Finance Limited,BAJFINANCE,,,,,,
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,,,,,,
Balaji Telefilms Limited,BALAJITELE,,,,,,
Balaji Amines Limited,BALAMINES,,,,,,
BALAXI PHARMACEUTICALS LIMITED,BALAXI,,,,,,
Balkrishna Paper Mills Limited,BALKRISHNA,,,,,,
Balkrishna Industries Limited,BALKRISIND,,,,,,
Balmer Lawrie & Company Limited,BALMLAWRIE,,,,,,
Bal Pharma Limited,BALPHARMA,,,,,,
Balrampur Chini Mills Limited,BALRAMCHIN,,,,,,
Balu Forge Industries Limited,BALUFORGE,,,,,,
Banaras Beads Limited,BANARBEADS,,,,,,
Bannari Amman Sugars Limited,BANARISUG,,,,,,
Banco Products (I) Limited,BANCOINDIA,,,,,,
Bandhan Bank Limited,BANDHANBNK,,,,,,
Bang Overseas Limited,BANG,,,,,,
Banka BioLoo Limited,BANKA,,,,,,
Bank of Baroda,BANKBARODA,,,,,,
Bank of India,BANKINDIA,,,,,,
Bansal Wire Industries Limited,BANSALWIRE,,,,,,
Banswara Syntex Limited,BANSWRAS,,,,,,
BASF India Limited,BASF,,,,,,
Bannari Amman Spinning Mills Limited,BASML,,,,,,
Bata India Limited,BATAINDIA,,,,,,
Batliboi Limited,BATLIBOI,,,,,,
Bayer Cropscience Limited,BAYERCROP,,,,,,
Bharat Bijlee Limited,BBL,,,,,,
Black Box Limited,BBOX,,,,,,
The Bombay Burmah Trading Corporation Limited,BBTC,,,,,,
B&B Triplewall Containers Limited,BBTCL,,,,,,
Brightcom Group Limited,BCG,,,,,,
Bcl Industries Limited,BCLIND,,,,,,
Brand Concepts Limited,BCONCEPTS,,,,,,
BCPL Railway Infrastructure Limited,BCPL,,,,,,
Bharat Dynamics Limited,BDL,,,,,,
Beardsell Limited,BEARDSELL,,,,,,
Mrs. Bectors Food Specialities Limited,BECTORFOOD,,,,,,
Bedmutha Industries Limited,BEDMUTHA,,,,,,
Beekay Steel Industries Limited,BEEKAY,,,,,,
Bharat Electronics Limited,BEL,,,,,,
Bella Casa Fashion & Retail Limited,BELLACASA,,,,,,
Belrise Industries Limited,BELRISE,,,,,,
BEML Limited,BEML,,,,,,
Bengal & Assam Company Limited,BENGALASM,,,,,,
Bhansali Engineering Polymers Limited,BEPL,,,,,,
Berger Paints (I) Limited,BERGEPAINT,,,,,,
Best Agrolife Limited,BESTAGRO,,,,,,
Beta Drugs Limited,BETA,,,,,,
BF Investment Limited,BFINVEST,,,,,,
BF Utilities Limited,BFUTILITIE,,,,,,
BGR Energy Systems Limited,BGRENERGY,,,,,,
Bhagiradha Chemicals & Industries Limited,BHAGCHEM,,,,,,
Bhageria Industries Limited,BHAGERIA,,,,,,
Bhagyanagar India Limited,BHAGYANGR,,,,,,
Bhandari Hosiery Exports Limited,BHANDARI,,,,,,
Bharat Coking Coal Limited,BHARATCOAL,,,,,,
Bharat Forge Limited,BHARATFORG,,,,,,
Bharat Gears Limited,BHARATGEAR,,,,,,
Bharat Rasayan Limited,BHARATRAS,,,,,,
Bharat Seats Limited,BHARATSE,,,,,,
Bharat Wire Ropes Limited,BHARATWIRE,,,,,,
Bharti Airtel Limited,BHARTIARTL,,,,,,
Bharti Hexacom Limited,BHARTIHEXA,,,,,,
Bharat Heavy Electricals Limited,BHEL,,,,,,
Bilcare Limited,BI,,,,,,
Bigbloc Construction Limited,BIGBLOC,,,,,,
Bikaji Foods International Limited,BIKAJI,,,,,,
Bhartiya International Limited,BIL,,,,,,
BIL VYAPAR LIMITED,BILVYAPAR,,,,,,
Bimetal Bearings Limited,BIMETAL,,,,,,
Biocon Limited,BIOCON,,,,,,
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,,,,,,
Birla Cable Limited,BIRLACABLE,,,,,,
Birla Corporation Limited,BIRLACORPN,,,,,,
Aditya Birla Money Limited,BIRLAMONEY,,,,,,
BirlaNu Limited,BIRLANU,,,,,,
Birla Precision Technologies Limited,BIRLAPREC,,,,,,
BLACKBUCK LIMITED,BLACKBUCK,,,,,,
Black Rose Inds. Limited,BLACKROSE,,,,,,
BEML Land Assets Limited,BLAL,,,,,,
BLB Limited,BLBLIMITED,,,,,,
Balmer Lawrie Investments Limited,BLIL,,,,,,
Bliss GVS Pharma Limited,BLISSGVS,,,,,,
B. L. Kashyap and Sons Limited,BLKASHYAP,,,,,,
BLS International Services Limited,BLS,,,,,,
BLS E-Services Limited,BLSE,,,,,,
Blue Coast Hotels Limited,BLUECOAST,,,,,,
Blue Dart Express Limited,BLUEDART,,,,,,
Blue Jet Healthcare Limited,BLUEJET,,,,,,
Blue Star Limited,BLUESTARCO,,,,,,
BlueStone Jewellery and Lifestyle Limited,BLUESTONE,,,,,,
Bluspring Enterprises Limited,BLUSPRING,,,,,,
BMW Ventures Limited,BMWVENTLTD,,,,,,
BN Agrochem Limited,BNAGROCHEM,,,,,,
B & A Limited,BNALTD,,,,,,
Bodal Chemicals Limited,BODALCHEM,,,,,,
Bohra Industries Limited,BOHRAIND,,,,,,
Bombay Dyeing & Mfg Company Limited,BOMDYEING,,,,,,
Bonlon Industries Limited,BONLON,,,,,,
Borana Weaves Limited,BORANA,,,,,,
Borosil Limited,BOROLTD,,,,,,
BOROSIL RENEWABLES LIMITED,BORORENEW,,,,,,
Borosil Scientific Limited,BOROSCI,,,,,,
BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL,,,,,,
Bosch Limited,BOSCHLTD,,,,,,
Bharat Petroleum Corporation Limited,BPCL,,,,,,
BPL Limited,BPL,,,,,,
Brigade Enterprises Limited,BRIGADE,,,,,,
Brigade Hotel Ventures Limited,BRIGHOTEL,,,,,,
Britannia Industries Limited,BRITANNIA,,,,,,
Bharat Road Network Limited,BRNL,,,,,,
Brooks Laboratories Limited,BROOKS,,,,,,
BSE Limited,BSE,,,,,,
Bombay Super Hybrid Seeds Limited,BSHSL,,,,,,
BSL Limited,BSL,,,,,,
BIRLASOFT LIMITED,BSOFT,,,,,,
Bodhi Tree Multimedia Limited,BTML,,,,,,
Bhilwara Technical Textiles Limited,BTTL,,,,,,
Shankara Buildpro Limited,BUILDPRO,,,,,,
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,,,,,,
Barak Valley Cements Limited,BVCL,,,,,,
The Byke Hospitality Ltd,BYKE,,,,,,
California Software Company Limited,CALSOFT,,,,,,
Camlin Fine Sciences Limited,CAMLINFINE,,,,,,
Campus Activewear Limited,CAMPUS,,,,,,
Computer Age Management Services Limited,CAMS,,,,,,
Canara Bank,CANBK,,,,,,
Can Fin Homes Limited,CANFINHOME,,,,,,
Canara HSBC Life Insurance Company Limited,CANHLIFE,,,,,,
Cantabil Retail India Limited,CANTABIL,,,,,,
Capacit'e Infraprojects Limited,CAPACITE,,,,,,
Capillary Technologies India Limited,CAPILLARY,,,,,,
Capital Small Finance Bank Limited,CAPITALSFB,,,,,,
Caplin Point Laboratories Limited,CAPLIPOINT,,,,,,
Capital Trust Limited,CAPTRUST,,,,,,
Carborundum Universal Limited,CARBORUNIV,,,,,,
CARE Ratings Limited,CARERATING,,,,,,
Carraro India Limited,CARRARO,,,,,,
Cartrade Tech Limited,CARTRADE,,,,,,
CARYSIL LIMITED,CARYSIL,,,,,,
Castrol India Limited,CASTROLIND,,,,,,
AvenuesAI Limited,CCAVENUE,,,,,,
Consolidated Construction Consortium Limited,CCCL,,,,,,
Country Club Hospitality & Holidays Limited,CCHHL,,,,,,
CCL Products (India) Limited,CCL,,,,,,
Central Depository Services (India) Limited,CDSL,,,,,,
CEAT Limited,CEATLTD,,,,,,
Ceigall India Limited,CEIGALL,,,,,,
Ceinsys Tech Limited,CEINSYS,,,,,,
Celebrity Fashions Limited,CELEBRITY,,,,,,
Cello World Limited,CELLO,,,,,,
Cemindia Projects Limited,CEMPRO,,,,,,
Century Enka Limited,CENTENKA,,,,,,
Century Extrusions Limited,CENTEXT,,,,,,
Central Bank of India,CENTRALBK,,,,,,
Centrum Capital Limited,CENTRUM,,,,,,
Centum Electronics Limited,CENTUM,,,,,,
Century Plyboards (India) Limited,CENTURYPLY,,,,,,
Cera Sanitaryware Limited,CERA,,,,,,
Cerebra Integrated Technologies Limited,CEREBRAINT,,,,,,
CESC Limited,CESC,,,,,,
Concord Enviro Systems Limited,CEWATER,,,,,,
Capri Global Capital Limited,CGCL,,,,,,
CG Power and Industrial Solutions Limited,CGPOWER,,,,,,
Chalet Hotels Limited,CHALET,,,,,,
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,,,,,,
Chembond Material Technologies Limited,CHEMBOND,,,,,,
Chembond Chemicals Limited,CHEMBONDCH,,,,,,
Chemcon Speciality Chemicals Limited,CHEMCON,,,,,,
Chemfab Alkalis Limited,CHEMFAB,,,,,,
Chemplast Sanmar Limited,CHEMPLASTS,,,,,,
Chennai Petroleum Corporation Limited,CHENNPETRO,,,,,,
Cheviot Company Limited,CHEVIOT,,,,,,
Choice International Limited,CHOICEIN,,,,,,
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,,,,,,
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,,,,,,
CIE Automotive India Limited,CIEINDIA,,,,,,
Capital India Finance Limited,CIFL,,,,,,
Cineline India Limited,CINELINE,,,,,,
Cinevista Limited,CINEVISTA,,,,,,
Cipla Limited,CIPLA,,,,,,
Clean Science and Technology Limited,CLEAN,,,,,,
Clean Max Enviro Energy Solutions Limited,CLEANMAX,,,,,,
CL Educate Limited,CLEDUCATE,,,,,,
Chaman Lal Setia Exports Limited,CLSEL,,,,,,
Central Mine Planning & Design Institute Limited,CMPDI,,,,,,
CMR Green Technologies Limited,CMRGREEN,,,,,,
CMS Info Systems Limited,CMSINFO,,,,,,
Creative Newtech Limited,CNL,,,,,,
Coal India Limited,COALINDIA,,,,,,
Coastal Corporation Limited,COASTCORP,,,,,,
Cochin Shipyard Limited,COCHINSHIP,,,,,,
John Cockerill India Limited,COCKERILL,,,,,,
Coffee Day Enterprises Limited,COFFEEDAY,,,,,,
Coforge Limited,COFORGE,,,,,,
Cohance Lifesciences Limited,COHANCE,,,,,,
Colgate Palmolive (India) Limited,COLPAL,,,,,,
Comfort Intech Limited,COMFINTE,,,,,,
Compuage Infocom Limited,COMPINFO,,,,,,
Compucom Software Limited,COMPUSOFT,,,,,,
Commercial Syn Bags Limited,COMSYN,,,,,,
Container Corporation of India Limited,CONCOR,,,,,,
Concord Biotech Limited,CONCORDBIO,,,,,,
Confidence Petroleum India Limited,CONFIPET,,,,,,
Consolidated Finvest & Holdings Limited,CONSOFINVT,,,,,,
Control Print Limited,CONTROLPR,,,,,,
Coral India Finance & Housing Limited,CORALFINAC,,,,,,
Cords Cable Industries Limited,CORDSCABLE,,,,,,
Coromandel International Limited,COROMANDEL,,,,,,
CORONA Remedies Limited,CORONA,,,,,,
COSMO FIRST LIMITED,COSMOFIRST,,,,,,
Country Condo's Limited,COUNCODOS,,,,,,
CP Capital Limited,CPCAP,,,,,,
Career Point Edutech Limited,CPEDU,,,,,,
Aditya Infotech Limited,CPPLUS,,,,,,
Craftsman Automation Limited,CRAFTSMAN,,,,,,
Canara Robeco Asset Management Company Limited,CRAMC,,,,,,
Creative Eye Limited,CREATIVEYE,,,,,,
CREDITACCESS GRAMEEN LIMITED,CREDITACC,,,,,,
Crest Ventures Limited,CREST,,,,,,
Crisil Limited,CRISIL,,,,,,
Crizac Limited,CRIZAC,,,,,,
Crompton Greaves Consumer Electricals Limited,CROMPTON,,,,,,
Crown Lifters Limited,CROWN,,,,,,
CSB Bank Limited,CSBBANK,,,,,,
CSL Finance Limited,CSLFINANCE,,,,,,
Cambridge Technology Enterprises Limited,CTE,,,,,,
City Union Bank Limited,CUB,,,,,,
Cubex Tubings Limited,CUBEXTUB,,,,,,
Cummins India Limited,CUMMINSIND,,,,,,
Cupid Limited,CUPID,,,,,,
Cura Technologies Limited,CURAA,,,,,,
Cyber Media (India) Limited,CYBERMEDIA,,,,,,
Cybertech Systems And Software Limited,CYBERTECH,,,,,,
Cyient Limited,CYIENT,,,,,,
Cyient DLM Limited,CYIENTDLM,,,,,,
Dabur India Limited,DABUR,,,,,,
Dai-Ichi Karkaria Limited,DAICHI,,,,,,
Dalmia Bharat Limited,DALBHARAT,,,,,,
Dalmia Bharat Sugar and Industries Limited,DALMIASUG,,,,,,
Dam Capital Advisors Limited,DAMCAPITAL,,,,,,
Damodar Industries Limited,DAMODARIND,,,,,,
Dangee Dums Limited,DANGEE,,,,,,
Datamatics Global Services Limited,DATAMATICS,,,,,,
Data Patterns (India) Limited,DATAPATTNS,,,,,,
Davangere Sugar Company Limited,DAVANGERE,,,,,,
D.B.Corp Limited,DBCORP,,,,,,
Deepak Builders & Engineers India Limited,DBEIL,,,,,,
Dilip Buildcon Limited,DBL,,,,,,
Dhampur Bio Organics Limited,DBOL,,,,,,
Valor Estate Limited,DBREALTY,,,,,,
DB (International) Stock Brokers Limited,DBSTOCKBRO,,,,,,
Dishman Carbogen Amcis Limited,DCAL,,,,,,
DCB Bank Limited,DCBBANK,,,,,,
Dc Infotech And Communication Limited,DCI,,,,,,
DCM  Limited,DCM,,,,,,
DCM Financial Services Limited,DCMFINSERV,,,,,,
DCM Nouvelle Limited,DCMNVL,,,,,,
DCM Shriram Limited,DCMSHRIRAM,,,,,,
DCM Shriram International Limited,DCMSIL,,,,,,
DCM Shriram Industries Limited,DCMSRIND,,,,,,
DCW Limited,DCW,,,,,,
DCX Systems Limited,DCXINDIA,,,,,,
Ddev Plastiks Industries Limited,DDEVPLSTIK,,,,,,
Deccan Cements Limited,DECCANCE,,,,,,
Deccan Gold Mines Limited,DECNGOLD,,,,,,
DEE Development Engineers Limited,DEEDEV,,,,,,
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT,,,,,,
Deepak Nitrite Limited,DEEPAKNTR,,,,,,
Deep Industries Limited,DEEPINDS,,,,,,
Delhivery Limited,DELHIVERY,,,,,,
DELPHI WORLD MONEY LIMITED,DELPHIFX,,,,,,
Delta Corp Limited,DELTACORP,,,,,,
Delta Manufacturing Limited,DELTAMAGNT,,,,,,
Den Networks Limited,DEN,,,,,,
De Nora India Limited,DENORA,,,,,,
Denta Water and Infra Solutions Limited,DENTA,,,,,,
